,State,City,Population,Violent crime,Property crime,Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants",Assault Risk (County),Total Crime Risk (County),Student Teacher Ratio,Percent of High School Graduate or Higher,year
119,Arizona,Tempe,175556,437,4050,0,248.92,0.02,2306.96,91.0,127.0,12.0,92.2,2017
120,California,Garden Grove,176041,252,2187,0,143.15,0.01,1242.32,49.0,55.0,12.0,73.8,2017
121,California,Oceanside,176319,307,2152,0,174.12,0.01,1220.52,90.0,79.0,22.333333333333332,86.1,2017
122,Florida,Port St. Lucie,176364,139,1167,0,78.81,0.01,661.7,164.0,113.0,19.5,87.4,2017
123,California,Rancho Cucamonga,176376,119,2072,0,67.47,0.01,1174.76,98.0,95.0,24.0,91.5,2017
124,Florida,Fort Lauderdale,178598,584,5366,0,326.99,0.03,3004.51,103.0,112.0,15.5,86.8,2017
125,Virginia,Newport News,"182,975",377,"2,570",0,206.04,0.01,1404.56,113.0,127.0,13.0,89.3,2017
126,Massachusetts,Worcester,183377,771,2711,0,420.45,0.01,1478.38,55.0,34.0,13.0,84.7,2017
127,Texas,Brownsville,"184,941",234,"3,057",0,126.53,0.02,1652.96,118.0,98.0,12.0,64.1,2017
128,Tennessee,Knoxville,"185,638",832,"4,854",0,448.18,0.03,2614.77,155.0,109.0,17.0,88.2,2017
129,Kansas,Overland Park,187240,188,1376,0,100.41,0.01,734.89,65.0,69.0,17.666666666666668,96.8,2017
130,Texas,Grand Prairie,"187,901",306,"2,217",0,162.85,0.01,1179.88,154.0,181.0,13.333333333333334,79.9,2017
131,Florida,Tallahassee,189709,857,5346,0,451.74,0.03,2818,227.0,161.0,14.5,93.3,2017
132,Alabama,Huntsville,"190,106",876,"4,565",0,460.8,0.02,2401.29,78.0,108.0,12.5,90.0,2017
133,Michigan,Grand Rapids,195268,619,,0,317,#VALUE!,,132.0,88.0,16.666666666666668,86.0,2017
134,Ohio,Akron,197587,531,3210,0,268.74,0.02,1624.6,54.0,85.0,20.75,86.5,2017
135,Louisiana,Shreveport,197592,837,4729,0,423.6,0.02,2393.32,202.0,185.0,17.0,86.2,2017
136,Arkansas,Little Rock,198647,1415,6476,0.01,712.32,0.03,3260.05,234.0,199.0,11.0,91.3,2017
137,Texas,Amarillo,"198,770",680,"4,526",0,342.1,0.02,2277,155.0,137.0,23.5,83.6,2017
138,Illinois,Aurora,201034,306,1163,0,152.21,0.01,578.51,51.714285714285715,56.57142857142857,21.0,76.4,2017
139,New York,Yonkers,201753,464,988,0,229.98,0,489.71,34.0,39.0,16.666666666666668,82.5,2017
140,California,Huntington Beach,203233,170,2167,0,83.65,0.01,1066.26,49.0,55.0,19.0,92.4,2017
141,North Carolina,Fayetteville,204731,659,4598,0,321.89,0.02,2245.87,135.0,222.0,14.0,91.2,2017
142,California,Moreno Valley,205182,469,3052,0,228.58,0.01,1487.46,123.0,86.0,11.333333333333334,75.7,2017
143,Washington,Tacoma,"206,884","1,010","6,795",0,488.2,0.03,3284.45,127.0,162.0,23.0,88.1,2017
144,California,Fontana,206982,447,2224,0,215.96,0.01,1074.49,98.0,95.0,18.0,74.1,2017
145,California,Oxnard,207221,450,3291,0,217.16,0.02,1588.16,55.0,49.0,26.0,67.6,2017
146,New York,Rochester,209922,879,3583,0,418.73,0.02,1706.82,32.44444444444444,58.0,12.38888888888889,80.8,2017
147,California,Modesto,210794,1034,5010,0,490.53,0.02,2376.73,122.0,90.0,18.0,81.9,2017
148,California,Santa Clarita,211132,156,1476,0,73.89,0.01,699.09,161.0,125.0,18.75,90.3,2017
149,Washington,Spokane,"212,698",564,"8,000",0,265.16,0.04,3761.2,74.0,124.0,13.666666666666666,92.3,2017
150,California,San Bernardino,216477,1396,4431,0.01,644.87,0.02,2046.87,98.0,95.0,22.0,67.6,2017
151,Virginia,Richmond,"220,802",504,"3,065",0,228.26,0.01,1388.12,72.0,68.0,19.0,84.5,2017
152,California,Fremont,232427,204,2239,0,87.77,0.01,963.31,85.0,93.0,21.666666666666668,93.4,2017
